Time,Speed,Distance,acceleration,force,torque,rpm,power,efficency,EnergyIn,EnergyUseful,lost to drag,lost to electric effects,EnergyLost
0.09999999,0.1583763,0.003065766,2.49079,0.003364882,260.1737,5.776381,26.2299,0.001915521,1352.717,0.8711044,0.07950035,1077.481,1077.56
0.2,0.4040117,0.02845862,2.477729,0.01161534,258.8372,19.93966,90.07864,0.006612243,2703.176,7.442609,0.6814839,2420.766,2421.448
0.3,0.6493699,0.07865098,2.459334,0.02024387,256.9031,34.75197,155.8211,0.01152419,4052.303,20.30356,1.867027,3755.845,3757.712
0.4,0.8932328,0.1531242,2.436483,0.02832675,254.6162,48.62758,216.0957,0.01612552,5393.901,39.3311,3.63555,5076.648,5080.284
0.5000001,1.14165,0.2524046,2.407551,0.03618912,251.9778,62.12466,273.2145,0.02060132,6761.544,65.11623,6.05681,6416.084,6422.141
0.6,1.374866,0.3756067,2.377413,0.04442782,248.8095,76.26775,331.1962,0.02529135,8046.495,95.25208,8.920213,7668.037,7676.958
0.6999999,1.607121,0.5222607,2.342712,0.05213622,245.5064,89.5005,383.5003,0.02967949,9327.666,130.9698,12.35839,8910.053,8922.411
0.7999998,1.830328,0.6926299,2.30267,0.06002223,241.8267,103.0382,434.8903,0.03416875,10560.35,170.6817,16.23554,10099.15,10115.38
0.8999997,2.06743,0.8858159,2.264494,0.06763618,238.0228,116.1088,482.3484,0.03850313,11871.85,218.6368,20.9909,11357.94,11378.93
0.9999996,2.287868,1.101776,2.221352,0.0749309,234.1809,128.6314,525.7457,0.04265578,13093.22,268.6533,26.03499,12524.24,12550.28
1.1,2.511851,1.339353,2.181016,0.08222477,230.1784,141.1525,567.062,0.04680795,14336.39,324.8094,31.79727,13705.5,13737.29
1.199999,2.731721,1.599234,2.137196,0.08961283,225.9913,153.8354,606.7717,0.05101374,15559,385.2017,38.10882,14861.41,14899.51
