Time,Speed,Distance,acceleration,force,torque,rpm,
0.09999999,0.1063664,0.003757743,-1.185599,239.491,239.4966,0.01335242,3.233799075
0.2,0.2087175,0.01849681,-1.182548,238.8747,238.8626,0.03017147,7.130424127
0.3,0.3179652,0.04385314,-1.179331,238.2249,238.2289,0.04698133,11.21703382
0.4,0.4238729,0.07983248,-1.176189,237.5902,237.5738,0.06435766,15.18738332
0.5000001,0.5292404,0.1263529,-1.17303,236.9521,236.9482,0.08095079,19.1573119
0.6,0.6352741,0.1834638,-1.1699,236.3197,236.3151,0.09774464,23.06995685
0.6999999,0.7406459,0.2508985,-1.166804,235.6945,235.6839,0.1144868,26.91812675
0.7999998,0.8442223,0.3290315,-1.163682,235.0637,235.0617,0.130993,30.77924088
0.8999997,0.9489066,0.4175037,-1.160773,234.4761,234.4407,0.147466,34.35696227
0.9999996,1.055366,0.5165201,-1.157405,233.7959,233.8105,0.1641803,38.47583802
1.1,1.156789,0.626112,-1.154355,233.1798,233.1851,0.1807716,42.18488407
1.199999,1.260793,0.7460225,-1.151292,232.561,232.5598,0.1973581,45.89012258
1.299999,1.366018,0.8741727,-1.148178,231.9321,231.9389,0.213828,49.63555679
1.399999,1.466668,0.9919214,-1.145216,231.3336,231.3058,0.2306221,53.1796157
1.499999,1.57117,1.119291,-1.142101,230.7043,230.7048,0.2465625,56.88586663
1.599999,1.674353,1.256881,-1.139056,230.0892,230.0865,0.2629633,60.48833386
1.699999,1.777138,1.404743,-1.135972,229.4663,229.469,0.2793428,64.11650979
1.799999,1.878388,1.562827,-1.132955,228.8569,228.8615,0.2954588,67.64540807
1.899999,1.972474,1.731082,-1.12991,228.2419,228.2439,0.311841,71.18705092
1.999999,2.082088,1.909437,-1.126912,227.6362,227.6308,0.3281025,74.65577302
2.099999,2.181711,2.098046,-1.123878,227.0234,227.0356,0.3438909,
2.199999,2.281632,2.296744,-1.120871,226.4159,226.4181,0.3602709,
2.299999,2.384255,2.505596,-1.117927,225.8213,225.8054,0.3765234,
2.399998,2.481916,2.724477,-1.114956,225.2211,225.2197,0.3920611,
2.499998,2.584812,2.953405,-1.111901,224.604,224.608,0.4082842,
2.599998,2.683982,3.192367,-1.108931,224.0041,224.0015,0.4243731,
2.699998,2.783602,3.441248,-1.106045,223.4211,223.4037,0.4402313,
2.799998,2.884429,3.70006,-1.103052,222.8166,222.8077,0.456039,
2.899998,2.984538,3.968787,-1.100124,222.225,222.2246,0.4715065,
2.999998,3.067336,4.24679,-1.097987,221.7934,221.6216,0.487501,
3.099998,3.181495,4.535043,-1.094197,221.0279,221.0344,0.5030785,
3.199998,3.279,4.833496,-1.091293,220.4411,220.449,0.5186071,
3.299998,3.378316,5.141702,-1.088429,219.8626,219.8583,0.5342748,
3.399997,3.475507,5.459878,-1.085465,219.264,219.2707,0.5498627,
3.499997,3.573393,5.787813,-1.082557,218.6766,218.6866,0.5653567,
3.599997,3.669397,6.125387,-1.079705,218.1003,218.101,0.5808885,
3.699997,3.767329,6.472668,-1.076786,217.5108,217.5125,0.5964987,
3.799997,3.864701,6.829695,-1.073904,216.9286,216.9294,0.6119663,
3.899997,3.958733,7.196375,-1.071102,216.3625,216.36,0.6270714,
3.999997,4.054888,7.572678,-1.068232,215.7828,215.7709,0.6426976,
4.099997,4.15193,7.958537,-1.065385,215.2077,215.1998,0.6578466,
4.199997,4.24793,8.354044,-1.062481,214.6212,214.6353,0.6728182,
4.299997,4.34417,8.759051,-1.059696,214.0586,214.0491,0.6883701,
4.399997,4.438302,9.17365,-1.056844,213.4826,213.4773,0.703536,
4.499997,4.534878,9.597729,-1.054059,212.9199,212.9211,0.7182894,
4.599997,4.628543,10.0313,-1.051191,212.3406,212.3384,0.7337469,
4.699996,4.722777,10.47434,-1.04839,211.7748,211.7809,0.7485336,
4.799996,4.818059,10.92689,-1.045598,211.2108,211.2144,0.7635621,
4.899996,4.909587,11.3888,-1.042818,210.6492,210.6452,0.778659,
4.999996,5.005861,11.86008,-1.03999,210.0779,210.0917,0.7933427,
5.099996,5.098471,12.34075,-1.037226,209.5196,209.5222,0.8084478,
5.199996,5.19163,12.83072,-1.034524,208.9739,208.9672,0.823171,
5.299996,5.283157,13.32986,-1.031801,208.4238,208.4051,0.838082,
5.399996,5.377842,13.83846,-1.028921,207.842,207.8494,0.8528202,
5.499996,5.468233,14.35622,-1.026225,207.2974,207.2879,0.8677147,
5.599996,5.561531,14.88326,-1.023498,206.7466,206.7516,0.8819407,
5.699996,5.652678,15.4196,-1.020735,206.1885,206.1981,0.8966231,
5.799995,5.74507,15.96508,-1.018006,205.6372,205.6481,0.911212,
5.899995,5.834641,16.51966,-1.015329,205.0965,205.1042,0.9256396,
5.999995,5.928768,17.08332,-1.012623,204.5499,204.5382,0.940653,
6.099995,6.018757,17.65626,-1.009879,203.9956,204.0283,0.954179,
6.199995,6.110657,18.23828,-1.007151,203.4445,203.4527,0.9694471,
6.299995,6.200938,18.82927,-1.004535,202.9161,202.9105,0.9838291,
6.399995,6.291522,19.42934,-1.00179,202.3616,202.3667,0.9982546,
6.499995,6.380095,20.0385,-0.9991127,201.8208,201.8195,1.01277,
6.599995,6.469562,20.6566,-0.9964764,201.2882,201.2896,1.026824,
6.699995,6.559126,21.28369,-0.9938092,200.7495,200.7532,1.041053,
6.799994,6.649316,21.91966,-0.9911926,200.2209,200.206,1.055568,
6.899994,6.739358,22.56461,-0.988472,199.6713,199.681,1.069495,
6.999994,6.828186,23.21848,-0.9858992,199.1516,199.1496,1.083591,
7.099994,6.915032,23.88119,-0.9832159,198.6096,198.6124,1.097841,
7.199994,7.004071,24.55265,-0.9806411,198.0895,198.0803,1.111955,
7.299994,7.092573,25.23294,-0.9780347,197.563,197.5629,1.12568,
7.399994,7.178771,25.92216,-0.9753419,197.0191,197.0334,1.139723,
7.499994,7.265905,26.62008,-0.9727354,196.4926,196.4948,1.154011,
7.599994,7.35423,27.32673,-0.9701829,195.9769,195.9738,1.16783,
7.699994,7.441152,28.04219,-0.9675816,195.4515,195.4603,1.181453,
7.799994,7.530019,28.76637,-0.9649647,194.9229,194.9252,1.195645,
7.899993,7.615775,29.49925,-0.9624152,194.4079,194.4118,1.209266,
7.999993,7.702136,30.24072,-0.9598308,193.8858,193.8864,1.223202,
8.099996,7.788442,30.99088,-0.9572625,193.367,193.3669,1.236982,
8.199998,7.872931,31.74965,-0.9547102,192.8515,192.861,1.2504,
8.3,7.959873,32.51689,-0.9521901,192.3424,192.3418,1.264173,
8.400002,8.044835,33.29277,-0.9496659,191.8325,191.8355,1.277603,
8.500005,8.132106,34.07716,-0.9471443,191.3232,191.3146,1.29142,
8.600007,8.216958,34.87012,-0.9445531,190.7997,190.8017,1.305025,
8.700009,8.302057,35.67159,-0.9420328,190.2906,190.2898,1.318604,
8.800012,8.385976,36.4816,-0.9395209,189.7832,189.7911,1.331832,
8.900014,8.467377,37.3,-0.9370299,189.28,189.2794,1.345405,
9.000016,8.554023,38.12678,-0.9345312,188.7753,188.7679,1.358974,
9.100019,8.637356,38.96206,-0.93204,188.2721,188.2676,1.372244,
9.200021,8.720323,39.80564,-0.9295714,187.7734,187.7608,1.385687,
9.300023,8.806396,40.65761,-0.9270326,187.2606,187.2591,1.398996,
9.400025,8.889256,41.51796,-0.9245532,186.7598,186.7687,1.412005,
