Time,Speed,Distance,acceleration,force,torque,rpm
0.09999999,0.001082991,2.205266E-05,-0.0175,3.5,3.5,0.001082991
0.2,0.002862447,0.000191043,-0.0175,3.5,3.5,0.002862447
0.3,0.004394941,0.0005402191,-0.0175,3.5,3.5,0.004394941
0.4,0.006361523,0.001064838,-0.0175,3.5,3.5,0.006361523
0.5000001,0.008084306,0.001766883,-0.0175,3.5,3.5,0.008084306
0.6,0.00979287,0.002641156,-0.0175,3.5,3.5,0.00979287
0.6999999,0.01156465,0.003692065,-0.0175,3.5,3.5,0.01156465
0.7999998,0.01327652,0.004913564,-0.0175,3.5,3.5,0.01327652
0.8999997,0.01507313,0.006313833,-0.0175,3.5,3.5,0.01507313
0.9999996,0.01685978,0.007886318,-0.0175,3.5,3.5,0.01685978
1.1,0.01856426,0.00963781,-0.0175,3.5,3.5,0.01856426
1.199999,0.02029745,0.01156349,-0.0175,3.5,3.5,0.02029745
1.299999,0.02209835,0.01322822,-0.0175,3.5,3.5,0.02209835
1.399999,0.02383303,0.0132288,-0.0175,3.5,3.5,0.02383303
1.499999,0.02558352,0.01322935,-0.0175,3.5,3.5,0.02558352
1.599999,0.02734839,0.01322989,-0.0175,3.5,3.5,0.02734839
1.699999,0.02907969,0.01323044,-0.0175,3.5,3.5,0.02907969
1.799999,0.0308401,0.01323101,-0.0175,3.5,3.5,0.0308401
1.899999,0.03258528,0.01323159,-0.0175,3.5,3.5,0.03258528
1.999999,0.03432471,0.01323218,-0.0175,3.5,3.5,0.03432471
2.099999,0.0360058,0.01323284,-0.0175,3.5,3.5,0.0360058
2.199999,0.03779956,0.01323347,-0.0175,3.5,3.5,0.03779956
2.299999,0.03960747,0.01323411,-0.0175,3.5,3.5,0.03960747
2.399998,0.04129564,0.01323475,-0.0175,3.5,3.5,0.04129564
2.499998,0.04310395,0.0132354,-0.0175,3.5,3.5,0.04310395
2.599998,0.04481068,0.01323607,-0.0175,3.5,3.5,0.04481068
2.699998,0.04660571,0.01323673,-0.0175,3.5,3.5,0.04660571
2.799998,0.04832993,0.01323742,-0.0175,3.5,3.5,0.04832993
2.899998,0.04994135,0.0132381,-0.0175,3.5,3.5,0.04994135
2.999998,0.05186271,0.01323886,-0.0175,3.5,3.5,0.05186271
3.099998,0.05352566,0.01323957,-0.0175,3.5,3.5,0.05352566
3.199998,0.05528488,0.01324029,-0.0175,3.5,3.5,0.05528488
3.299998,0.05709672,0.01324101,-0.0175,3.5,3.5,0.05709672
3.399997,0.05873401,0.01324177,-0.0175,3.5,3.5,0.05873401
3.499997,0.06056441,0.01324252,-0.0175,3.5,3.5,0.06056441
3.599997,0.0623247,0.01324333,-0.0175,3.5,3.5,0.0623247
3.699997,0.06405388,0.0132441,-0.0175,3.5,3.5,0.06405388
3.799997,0.06582889,0.0132449,-0.0175,3.5,3.5,0.06582889
3.899997,0.06750941,0.01324569,-0.0175,3.5,3.5,0.06750941
3.999997,0.06926877,0.01324651,-0.0175,3.5,3.5,0.06926877
4.099997,0.07107729,0.01324734,-0.0175,3.5,3.5,0.07107729
4.199997,0.07278659,0.0132482,-0.0175,3.5,3.5,0.07278659
4.299997,0.07460058,0.01324909,-0.0175,3.5,3.5,0.07460058
4.399997,0.07626896,0.01324995,-0.0175,3.5,3.5,0.07626896
4.499997,0.07806274,0.01325081,-0.0175,3.5,3.5,0.07806274
4.599997,0.07985502,0.0132517,-0.0175,3.5,3.5,0.07985502
4.699996,0.08151714,0.01325259,-0.0175,3.5,3.5,0.08151714
4.799996,0.08328877,0.01325354,-0.0175,3.5,3.5,0.08328877
4.899996,0.08509999,0.01325445,-0.0175,3.5,3.5,0.08509999
4.999996,0.08686142,0.01325538,-0.0175,3.5,3.5,0.08686142
5.099996,0.08853704,0.01325632,-0.0175,3.5,3.5,0.08853704
5.199996,0.09028323,0.01325733,-0.0175,3.5,3.5,0.09028323
5.299996,0.09201583,0.0132583,-0.0175,3.5,3.5,0.09201583
5.399996,0.09382737,0.01325933,-0.0175,3.5,3.5,0.09382737
5.499996,0.09558653,0.01326032,-0.0175,3.5,3.5,0.09558653
5.599996,0.0972646,0.01326131,-0.0175,3.5,3.5,0.0972646
5.699996,0.09903602,0.01326232,-0.0175,3.5,3.5,0.09903602
5.799995,0.1008399,0.01326339,-0.0175,3.5,3.5,0.1008399
5.899995,0.1025762,0.01326444,-0.0175,3.5,3.5,0.1025762
5.999995,0.1038145,0.01326547,-0.0175,3.5,3.5,0.1038145
6.099995,0.1060505,0.01326652,-0.0175,3.5,3.5,0.1060505
6.199995,0.1078391,0.01326764,-0.0175,3.5,3.5,0.1078391
6.299995,0.109222,0.01326869,-0.0175,3.5,3.5,0.109222
6.399995,0.1112298,0.01326977,-0.0175,3.5,3.5,0.1112298
6.499995,0.1130692,0.01327085,-0.0175,3.5,3.5,0.1130692
6.599995,0.1148464,0.01327194,-0.0175,3.5,3.5,0.1148464
6.699995,0.1165133,0.01327312,-0.0175,3.5,3.5,0.1165133
6.799994,0.1183402,0.01327425,-0.0175,3.5,3.5,0.1183402
6.899994,0.119971,0.01327538,-0.0175,3.5,3.5,0.119971
6.999994,0.1217784,0.01327654,-0.0175,3.5,3.5,0.1217784
7.099994,0.1235443,0.01327776,-0.0175,3.5,3.5,0.1235443
7.199994,0.1252668,0.01327894,-0.0175,3.5,3.5,0.1252668
7.299994,0.1270864,0.01328012,-0.0175,3.5,3.5,0.1270864
7.399994,0.1287868,0.0132813,-0.0175,3.5,3.5,0.1287868
7.499994,0.130492,0.01328251,-0.0175,3.5,3.5,0.130492
7.599994,0.1322819,0.01328373,-0.0175,3.5,3.5,0.1322819
7.699994,0.1340861,0.01328497,-0.0175,3.5,3.5,0.1340861
