Time,Speed,Distance,acceleration,force,torque,rpm,
0.09999999,0.01594015,0.000294647,-0.2625,52.5,52.5,0.01594015,3.5
0.2,0.04227956,0.002903668,-0.2625,52.5,52.5,0.04227956,3.5
0.3,0.06241038,0.008032892,-0.171,34.2,34.2,0.06241038,2.28
0.4,0.07968779,0.01496694,-0.171,34.2,34.2,0.07968779,2.28
0.5000001,0.1017304,0.02368509,-0.3165,63.3,63.3,0.1017304,4.22
0.6,0.1334273,0.03515412,-0.3165,63.3,66.75,0.1334273,4.45
0.6999999,0.1671463,0.04991812,-0.33375,66.75,66.75,0.1671463,4.45
0.7999998,0.2026502,0.06801008,-0.35175,70.35,70.35,0.2026502,4.69
0.8999997,0.236679,0.08961586,-0.36375,72.75,72.75,0.236679,4.85
0.9999996,0.2748504,0.1148219,-0.3975,79.5,79.5,0.2748504,5.3
1.1,0.3147292,0.1438704,-0.4155,83.1,83.1,0.3147292,5.54
1.199999,0.356088,0.1769989,-0.4155,83.1,85.8,0.356088,5.72
1.299999,0.3998774,0.212276,-0.44025,88.05,88.05,0.3998774,5.87
1.399999,0.4444106,0.2310908,-0.44775,89.55,89.55,0.4444106,5.97
1.499999,0.488271,0.2537057,-0.44775,89.55,89.55,0.488271,5.97
1.599999,0.5334464,0.2808106,-0.44775,89.55,89.55,0.5334464,5.97
1.699999,0.5779856,0.3123671,-0.44775,89.55,89.55,0.5779856,5.97
1.799999,0.6232842,0.3484105,-0.44775,89.55,89.55,0.6232842,5.97
1.899999,0.668093,0.3889125,-0.44775,89.55,89.55,0.668093,5.97
1.999999,0.711808,0.4339258,-0.44775,89.55,89.55,0.711808,5.97
2.099999,0.7558546,0.4833946,-0.44775,89.55,89.55,0.7558546,5.97
2.199999,0.8020314,0.5373306,-0.44775,89.55,89.55,0.8020314,5.97
2.299999,0.8463119,0.59574,-0.44775,89.55,89.55,0.8463119,5.97
2.399998,0.8900548,0.658631,-0.44775,89.55,89.55,0.8900548,5.97
2.499998,0.9367335,0.7259688,-0.44775,89.55,89.55,0.9367335,5.97
2.599998,0.9816709,0.7978333,-0.44775,89.55,89.55,0.9816709,5.97
2.699998,1.024992,0.8741716,-0.44775,89.55,89.55,1.024992,5.97
2.799998,1.070611,0.9549903,-0.44775,89.55,89.55,1.070611,5.97
2.899998,1.115022,1.040269,-0.44775,89.55,89.55,1.115022,5.97
2.999998,1.159461,1.130027,-0.44775,89.55,89.55,1.159461,5.97
3.099998,1.204202,1.224263,-0.44775,89.55,89.55,1.204202,5.97
3.199998,1.250362,1.322974,-0.44775,89.55,89.55,1.250362,5.97
3.299998,1.29509,1.426167,-0.44775,89.55,89.55,1.29509,5.97
3.399997,1.339619,1.533844,-0.44775,89.55,89.55,1.339619,5.97
3.499997,1.38475,1.645979,-0.44775,89.55,89.55,1.38475,5.97
