Time,Speed,Distance,acceleration,force,torque,rpm,power,efficency,EnergyIn,EnergyUseful,EnergyLost
0.09999999,0.193966,0.003924245,-2.490484,0.00455409,260.0126,7.817854,35.47802,0.002592499,92.93031,1340.634,0
0.12,0.2269219,0.007803566,-2.486973,0.006473845,259.73,11.11343,50.37879,0.003685354,138.8219,1521.781,0
0.14,0.2758134,0.012342,-2.483997,0.007573786,259.5556,13.00167,58.89884,0.004311515,192.435,1790.661,0
0.16,0.34484,0.01785827,-2.48216,0.009205598,259.2801,15.80294,71.51293,0.005240454,257.5214,2170.153,0
0.18,0.34484,0.02475507,-2.48216,0.009205598,259.2801,15.80294,71.51293,0.005240454,257.5214,2170.153,0
0.2,0.4075675,0.03165187,-2.479258,0.01150944,258.8575,19.75788,89.26444,0.00655196,338.8364,2514.854,0
0.22,0.4919111,0.03980322,-2.474806,0.01360305,258.4395,23.3519,105.3315,0.007743782,530.8248,2978.426,0
0.24,0.5191019,0.04964145,-2.470403,0.01641812,257.8269,28.18443,126.8279,0.009346311,646.4763,3127.783,0
0.26,0.5648336,0.06002348,-2.463953,0.01732564,257.6172,29.74234,133.7296,0.009862935,768.3034,3379.439,0
0.28,0.6063056,0.07132015,-2.461743,0.01885199,257.2513,32.36258,145.3041,0.01073184,900.5172,3607.534,0
0.3,0.6836888,0.08344626,-2.457886,0.02023617,256.9051,34.73875,155.763,0.01151981,1184.105,4033.234,0
0.32,0.7174618,0.09712004,-2.45424,0.02281892,256.2232,39.17248,175.1769,0.01299009,1343.746,4218.808,0
0.34,0.7594827,0.1114693,-2.447059,0.02394614,255.9111,41.10753,183.6064,0.01363177,1511.024,4450.098,0
0.36,0.8036524,0.1266589,-2.44377,0.02534863,255.5106,43.51516,194.0559,0.01443017,1687.582,4693.161,0
0.38,0.8860257,0.142732,-2.439548,0.02682285,255.0753,46.04589,204.9919,0.01526939,2060.73,5146.467,0
0.4,0.9167225,0.1604525,-2.434962,0.02957216,254.2247,50.76553,225.2497,0.01683449,2266.073,5315.148,0
0.42,0.9568734,0.1787869,-2.426006,0.0305967,253.8951,52.52433,232.7513,0.01741773,2478.131,5536.307,0
0.4400001,0.9933051,0.1979244,-2.422532,0.03193678,253.4537,54.82481,242.5231,0.01818059,2698.662,5736.918,0
0.4600001,1.054252,0.2177905,-2.417881,0.03315273,253.0432,56.91219,251.3491,0.0188728,2927.262,6072.625,0
0.4800001,1.099076,0.2388756,-2.413555,0.03518692,252.3358,60.40421,266.0256,0.0200308,3169.422,6319.272,0
0.5000001,1.168057,0.2608571,-2.406098,0.03668297,251.7992,62.97243,276.7465,0.02088245,3673.432,6699.215,0
0.52,1.196411,0.2842183,-2.400446,0.0389853,250.9469,66.92476,293.1204,0.02219309,3940.426,6855.221,0
0.54,1.272725,0.3081465,-2.391467,0.03993162,250.5875,68.54929,299.8056,0.0227318,4486.09,7276.092,0
0.56,1.30612,0.333601,-2.387678,0.04247871,249.5943,72.92178,317.665,0.02418178,4775.24,7459.823,0
0.58,1.344616,0.3597234,-2.377219,0.04359331,249.1481,74.83517,325.4174,0.02481628,5071.507,7672.171,0
0.6,1.383928,0.3866157,-2.372517,0.04487815,248.6252,77.04082,334.3054,0.0255477,5375.169,7888.997,0
0.6199999,1.463561,0.4142943,-2.367001,0.04619024,248.0818,79.29325,343.3275,0.02629464,5999.014,8328.268,0
0.6399999,1.501909,0.4435655,-2.361275,0.04884807,246.9531,83.85585,361.4309,0.02780765,6328.118,8539.354,0
0.6599999,1.534832,0.4736037,-2.349388,0.05012799,246.3964,86.05305,370.065,0.02853627,6665.027,8721.083,0
0.6799999,1.534832,0.5043003,-2.349388,0.05012799,246.3964,86.05305,370.065,0.02853627,6665.027,8721.083,0
0.6999999,1.619536,0.5349969,-2.343523,0.05122683,245.9119,87.93939,377.4335,0.02916181,7007.589,9188.887,0
0.7199998,1.695554,0.5673876,-2.338402,0.05405394,244.6381,92.7926,396.2003,0.03077119,7728.719,9607.453,0
0.7399998,1.726752,0.6012987,-2.324987,0.05659112,243.4626,97.14809,412.804,0.03221552,8105.383,9779.397,0
0.7599998,1.76423,0.6358337,-2.312607,0.0576324,242.9716,98.93562,419.5518,0.03280829,8486.777,9986.637,0
0.7799998,1.836621,0.6711183,-2.307425,0.05888326,242.3754,101.0829,427.606,0.03352037,9261.973,10386.85,0
0.7999998,1.865653,0.7078508,-2.301143,0.0612994,241.2048,105.2306,443.0019,0.0348958,9664.57,10547.02,0
0.8199998,1.905436,0.7451638,-2.288815,0.06226838,240.7285,106.8941,449.1159,0.03544741,10072.42,10767.24,0
0.8399997,1.943129,0.7832725,-2.283793,0.06359617,240.0696,109.1734,457.4372,0.03620328,10486.73,10975.78,0
0.8599997,2.015068,0.8221351,-2.276842,0.06485423,239.4389,111.3331,465.2607,0.03691945,11329.9,11373.95,0
0.8799997,2.015068,0.8624365,-2.276842,0.06485423,239.4389,111.3331,465.2607,0.03691945,11329.9,11373.95,0
0.8999997,2.090503,0.9027379,-2.270196,0.06725527,238.2183,115.4549,480.0261,0.03828629,11765.75,11790.56,0
0.9199997,2.12845,0.9445479,-2.257331,0.069773,236.9159,119.777,495.2733,0.03971955,12216.61,12000.17,0
0.9399996,2.197134,0.9871169,-2.243605,0.07103953,236.2523,121.9512,502.8513,0.04044054,13129.49,12380.83,0
0.9599996,2.227575,1.03106,-2.236613,0.07333193,235.0379,125.8865,516.4095,0.04174554,13597.79,12549.2,0
0.9799996,2.262106,1.075611,-2.223822,0.07434796,234.4942,127.6307,522.3536,0.04232393,14071.1,12740.84,0
0.9999996,2.322005,1.120853,-2.218083,0.07550047,233.8737,129.6091,529.0472,0.04298002,15026.9,13073.24,0
1.02,2.352405,1.167293,-2.211545,0.07749966,232.7881,133.0411,540.535,0.0441181,15516.19,13241.66,0
1.04,2.384013,1.214341,-2.200109,0.07851429,232.2327,134.7829,546.3053,0.04469568,16010.42,13417.26,0
1.06,2.45599,1.262022,-2.194246,0.07956924,231.6523,136.5939,552.2621,0.04529624,17006.99,13817.19,0
1.08,2.497643,1.311141,-2.188128,0.08197157,230.3197,140.7179,565.6629,0.04666381,17518.95,14047.95,0
1.1,2.497643,1.361094,-2.188128,0.08197157,230.3197,140.7179,565.6629,0.04666381,17518.95,14047.95,0
1.12,2.567324,1.411047,-2.17409,0.0833618,229.5419,143.1044,573.314,0.04745523,18038.14,14435.16,0
