Time,Speed,Distance,acceleration,force
0.09999999,0.2199448,0.01208721,-2.475247,500
0.2,0.4434832,0.04748322,-2.475247,500
0.3,0.6681923,0.1050447,-2.475247,500
0.4,0.8908682,0.1849028,-2.475247,500
0.5000001,1.110855,0.2870591,-2.475247,500
0.6,1.335795,0.4114087,-2.475247,500
0.6999999,1.553436,0.5578272,-2.475247,500
0.7999998,1.775778,0.7264954,-2.475247,500
0.8999997,2.003814,0.917603,-2.475247,500
0.9999996,2.226113,1.130954,-2.475247,500
1.1,2.446659,1.366775,-2.475247,500
1.199999,2.669402,1.624706,-2.475247,500
1.299999,2.890297,1.904932,-2.475247,500
1.399999,3.117446,2.207605,-2.475247,500
1.499999,3.339528,2.532602,-2.475247,500
1.599999,3.563075,2.879801,-2.475247,500
1.699999,3.786577,3.249208,-2.475247,500
1.799999,4.007856,3.640921,-2.475247,500
1.899999,4.227818,4.054888,-2.475247,500
1.999999,4.451083,4.491016,-2.475247,500
2.099999,4.677881,4.949543,-2.475247,500
2.199999,4.89886,5.430459,-2.475247,500
2.299999,5.114341,5.933455,-2.475247,500
2.399998,5.344259,6.458913,-2.475247,500
2.499998,5.568765,7.006659,-2.475247,500
2.599998,5.786673,7.576493,-2.475247,500
2.699998,6.011566,8.168614,-2.475247,500
2.799998,6.237303,8.783408,-2.475247,500
2.899998,6.455438,9.420122,-2.475247,500
2.999998,6.68289,10.07922,-2.475247,500
3.099998,6.899837,10.76054,-2.475247,500
3.199998,7.125516,11.46423,-2.475247,500
3.299998,7.347544,12.18991,-2.475247,500
3.399997,7.573358,12.93808,-2.475247,500
3.499997,7.796464,13.70835,-2.475247,500
3.599997,8.01623,14.5011,-2.475247,500
3.699997,8.238323,15.31591,-2.475247,500
3.799997,8.459446,16.15307,-2.475247,500
3.899997,8.68482,17.01261,-2.475247,500
3.999997,8.909825,17.89447,-2.475247,500
4.099997,9.128953,18.79842,-2.475247,500
4.199997,9.356281,19.72481,-2.475247,500
4.299997,9.575854,20.67348,-2.475247,500
