Time,Speed,Distance,acceleration,force,torque,rpm,power,efficency,EnergyIn,EnergyUseful,lost to drag,lost to electric effects,EnergyLost
0.09999999,0.1484976,0.002766478,2.491072,0.003091963,260.2092,5.30787,24.10573,0.001760156,1351.868,0.7646061,0.06977266,1076.747,1076.817
0.2,0.3977345,0.02712625,2.478107,0.01139743,258.879,19.56558,88.40301,0.006488194,2722.094,7.217713,0.6608114,2439.929,2440.59
0.3,0.6460121,0.0764781,2.459759,0.01974005,257.0307,33.88708,152.0185,0.01123738,4087.316,20.10862,1.848944,3791.072,3792.921
0.4,0.8767708,0.1504906,2.437152,0.02795025,254.7325,47.98126,213.3209,0.01591119,5356.786,37.90776,3.502725,5041.089,5044.592
0.5000001,1.12853,0.2479642,2.410893,0.03542498,252.2513,60.81288,267.7357,0.02016632,6742.922,63.6102,5.914425,6399.112,6405.026
0.6,1.371015,0.3700427,2.378051,0.04387834,249.0329,75.32449,327.3936,0.02497854,8078.867,94.69907,8.866949,7701.014,7709.881
0.6999999,1.605457,0.5158684,2.343707,0.05173744,245.6848,88.81593,380.8434,0.02945248,9372.177,130.6592,12.32764,8954.901,8967.229
0.7999998,1.832389,0.6852044,2.305053,0.05947762,242.0898,102.1033,431.4132,0.03385872,10625.51,171.0483,16.27099,10163.9,10180.17
0.8999997,2.058075,0.8775861,2.266353,0.06747118,238.1075,115.8255,481.3431,0.0384092,11873.6,216.628,20.78987,11361.89,11382.68
0.9999996,2.281872,1.092821,2.223464,0.07480241,234.2501,128.4108,524.9991,0.04258263,13113.52,267.2175,25.88873,12546.13,12572.01
1.1,2.502565,1.329855,2.182151,0.08220031,230.1921,141.1105,566.927,0.04679402,14338.29,322.3691,31.54455,13710.09,13741.63
1.199999,2.724814,1.589072,2.138094,0.08926384,226.1917,153.2363,604.9446,0.05081508,15574.3,383.2211,37.89958,14878.9,14916.8
1.299999,2.935588,1.867537,2.095807,0.09657611,221.9496,165.789,642.2254,0.05497772,16748.78,445.8949,44.56849,15984.03,16028.6
1.399999,3.135227,2.1459,2.055676,0.103317,217.9716,177.3609,674.7382,0.05881511,17864.1,509.7513,51.48881,17028.58,17080.07
1.499999,3.340334,2.444286,2.009888,0.1100793,213.9368,188.9695,705.5933,0.06266465,19012.12,579.9234,59.23835,18098.68,18157.92
1.599999,3.536226,2.76271,1.966744,0.1168227,209.8874,200.5457,734.6441,0.06650347,20111.08,651.3046,67.27375,19118.21,19185.49
1.699999,3.738898,3.100829,1.926021,0.1235139,205.8603,212.0321,761.8186,0.07031252,21250.96,729.6275,76.26189,20170.79,20247.05
1.799999,3.925989,3.458465,1.885451,0.1296481,202.1729,222.5625,785.3302,0.07380451,22306.06,806.079,85.20849,21140.48,21225.69
1.899999,4.106346,3.834984,1.845778,0.1361353,198.2895,233.699,808.7866,0.07749753,23325.47,883.5095,94.43946,22073.23,22167.67
1.999999,4.289748,4.229545,1.808296,0.142107,194.7384,243.9504,829.1447,0.080897,24365.08,966.0552,104.4643,23020.27,23124.73
2.099999,4.468778,4.64244,1.769267,0.1480726,191.2208,254.1913,848.3462,0.084293,25382.45,1050.357,114.897,23942.9,24057.79
2.199999,4.647633,5.072791,1.732741,0.1537219,187.9231,263.8892,865.524,0.08750898,26401.74,1138.281,125.9829,24863.18,24989.16
2.299999,4.819996,5.520697,1.698697,0.1596892,184.4801,274.1331,882.6496,0.09090596,27386.38,1226.518,137.3164,25748.25,25885.57
2.399998,4.982449,5.985881,1.662877,0.1653705,181.2449,283.886,898.0224,0.09414017,28317.05,1312.893,148.61,26581.24,26729.85
2.499998,5.149377,6.467204,1.632354,0.1708458,178.1698,293.2853,912.0145,0.0972571,29276.06,1404.888,160.8496,27436.03,27596.88
2.599998,5.309049,6.964927,1.598744,0.1762139,175.1982,302.5005,924.9818,0.100313,30195.87,1495.989,173.1842,28252.39,28425.58
2.699998,5.471109,7.478861,1.567797,0.1813123,172.4175,311.2527,936.6381,0.1032153,31132.18,1591.582,186.3511,29079.95,29266.3
2.799998,5.623615,8.008437,1.539382,0.1867239,169.5119,320.5427,948.3386,0.106296,32015.48,1684.424,199.3578,29857.4,30056.76
2.899998,5.773777,8.55337,1.510359,0.1918449,166.8072,329.3337,958.8005,0.1092112,32887.68,1778.611,212.7691,30622.01,30834.78
2.999998,5.929013,9.113333,1.48224,0.1968005,164.2321,337.8409,968.3845,0.1120323,33791.96,1878.876,227.2807,31411.51,31638.79
3.099998,6.075188,9.68832,1.455841,0.2017151,161.7203,346.2776,977.3865,0.11483,34645.8,1976.01,241.5697,32153.94,32395.51
3.199998,6.21959,10.27755,1.429863,0.2061897,159.47,353.959,985.1658,0.1173773,35491.95,2074.593,256.2977,32886.77,33143.07
3.299998,6.356772,10.88112,1.407348,0.2112901,156.9478,362.7146,993.5681,0.1202807,36297.79,2170.63,270.8629,33582,33852.86
